1,5,25,125,625,3125,15625,78125
4,20,100,500,2500,12500,62500,312500
7,35,175,875,4375,21875,109375,546875
7,35,175,875,4375,21875,109375,546875
10,50,250,1250,6250,31250,156250,781250
4,20,100,500,2500,12500,62500,312500
7,35,175,875,4375,21875,109375,546875
10,50,250,1250,6250,31250,156250,781250
13,65,325,1625,8125,40625,203125,1015625
16,80,400,2000,10000,50000,250000,1250000
7,35,175,875,4375,21875,109375,546875
10,50,250,1250,6250,31250,156250,781250
13,65,325,1625,8125,40625,203125,1015625
16,80,400,2000,10000,50000,250000,1250000
19,95,475,2375,11875,59375,296875,1484375
22,110,550,2750,13750,68750,343750,1718750
25,125,625,3125,15625,78125,390625,1953125
28,140,700,3500,17500,87500,437500,2187500
31,155,775,3875,19375,96875,484375,2421875
34,170,850,4250,21250,106250,531250,2656250
37,185,925,4625,23125,115625,578125,2890625
40,200,1000,5000,25000,125000,625000,3125000
43,215,1075,5375,26875,134375,671875,3359375
46,230,1150,5750,28750,143750,718750,3593750
49,245,1225,6125,30625,153125,765625,3828125
